city,state,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,lat,long
watertown,New York,21395,2013.0,ram,1500 4wd,,,gas,71963.0,clean,automatic,1C6RR7FTXDS537130,,,,black,43.159,-75.97
newhaven,Connecticut,4500,2005.0,ford,f150 lariat,excellent,8 cylinders,gas,155000.0,clean,automatic,,4wd,full-size,truck,black,41.0602,-73.5445
washingtondc,Maryland,3800,2006.0,,cadilac cts,excellent,6 cylinders,gas,118000.0,clean,automatic,1g6dp577560121762,rwd,full-size,sedan,black,39.180037,-77.209897
cfl,Florida,4799,2006.0,honda,pilot,excellent,6 cylinders,gas,160000.0,clean,automatic,5FNYF28586B042598,fwd,,SUV,red,27.4924,-81.4357
sacramento,California,8500,2015.0,ford,c-max hybrid se,excellent,4 cylinders,gas,94318.0,clean,automatic,1FADP5AU9FL125068,fwd,,sedan,black,38.61076,-121.424376
tricities,Tennessee,4000,1974.0,ford,e100,good,,gas,74000.0,clean,manual,,rwd,,van,black,36.561908,-82.449213
wilmington,North Carolina,18700,2012.0,jeep,lifted wrangler unlimited,good,6 cylinders,gas,58000.0,rebuilt,automatic,,4wd,full-size,SUV,orange,34.292058000000004,-77.903166
cnj,New Jersey,7500,2001.0,jeep,wrangler,excellent,6 cylinders,gas,,clean,manual,,,,,,40.398,-74.3236
washingtondc,Virginia,5200,2012.0,ford,e350 van,good,8 cylinders,gas,251.0,clean,automatic,,fwd,full-size,,white,38.859,-77.0997
bham,Alabama,1800,2009.0,,Seats/Windows; GPS,excellent,,gas,,clean,automatic,,,,,,33.177,-86.6161
wilmington,North Carolina,25900,2013.0,chevrolet,silverado 1500 crew ca,excellent,8 cylinders,gas,107863.0,clean,automatic,3GCPKSE73DG181980,4wd,full-size,truck,white,36.277213,-80.339822
kamloops,FAILED,14356,2015.0,jeep,patriot north edition,like new,4 cylinders,gas,101035.0,clean,automatic,,4wd,,SUV,black,49.234133,-122.861002
raleigh,North Carolina,6800,2010.0,honda,fit sport,excellent,4 cylinders,gas,215000.0,clean,automatic,JHMGE8H67BC006062,fwd,compact,hatchback,red,35.779742,-78.645176
whistler,FAILED,8800,2007.0,nissan,murano se,,,gas,163000.0,clean,automatic,KELLY 6047278476,,,,,49.026576,-122.82921
orlando,Florida,8500,1995.0,chev,,excellent,,diesel,37014.0,clean,automatic,1GBJC34FXSE250772,,full-size,truck,white,28.787144,-81.224113
rmn,Wisconsin,78000,2014.0,mazda,2,,,gas,,clean,automatic,,,,,,43.6912,-91.1919
lincoln,Nebraska,2995,2000.0,ram,,,,gas,,clean,automatic,IB7HC16Z9YS649429,,,,,40.813796999999994,-96.73881999999999
phoenix,Arizona,7400,2012.0,chevrolet,malibu,excellent,,gas,91000.0,clean,automatic,1G1ZA5E0XCF216118,rwd,full-size,,silver,33.713488,-112.17298500000001
brunswick,Georgia,3200,1991.0,chevrolet,,,,gas,,clean,manual,,,,,,30.7977,-81.7075
boise,Idaho,6950,2008.0,subaru,forester l.l. bean awd,good,4 cylinders,gas,118246.0,rebuilt,automatic,JF1SG67688H726757,4wd,mid-size,SUV,brown,43.577352000000005,-116.243648
orlando,Florida,15900,2016.0,jeep,compass,,,gas,30058.0,clean,automatic,1C4NJDEB4GD795805,4wd,,hatchback,white,28.795690000000004,-81.3353
mcallen,Texas,10500,2007.0,chevrolet,tahoe,,,gas,,clean,automatic,,,,,,25.950376000000002,-97.32169300000001
charleston,South Carolina,1700,2002.0,ford,explorer,,,gas,,clean,automatic,,,,,,32.971637,-80.210435
huntsville,Alabama,2000,1994.0,gmc,sonoma,fair,4 cylinders,gas,,clean,manual,,rwd,mid-size,,custom,34.643,-86.8168
detroit,Michigan,4995,2008.0,mercedes-benz,c-class,good,6 cylinders,gas,133081.0,clean,automatic,WDDGF54X98F041890,rwd,compact,sedan,custom,42.197712,-83.273552
enid,Oklahoma,38999,2013.0,chevrolet,corvette grand sport,,,gas,,clean,automatic,,,,,,35.199,-97.4841
fortcollins,Colorado,7000,2003.0,toyota,tundra 4wd truck,,,gas,,clean,automatic,,,,,,40.4109,-104.7541
lincoln,Nebraska,12900,1931.0,ford,phaeton,excellent,8 cylinders,gas,6500.0,clean,automatic,,rwd,,convertible,custom,40.654962,-96.508129
columbus,Ohio,4000,2003.0,dodge,1500,fair,8 cylinders,gas,151000.0,clean,automatic,,4wd,full-size,truck,white,39.9061,-82.7563
eastco,Colorado,3500,1950.0,ford,f1,fair,6 cylinders,gas,,clean,manual,,rwd,,truck,,38.109184,-103.867065
baltimore,Maryland,167,2017.0,ford,fiesta se,good,,gas,41844.0,clean,other,3FADP4EJ7HM115747,fwd,,hatchback,,39.112138,-76.836148
desmoines,Iowa,3995,2009.0,saturn,aura,good,4 cylinders,gas,145420.0,clean,automatic,1G8ZS57B79F125653,fwd,compact,sedan,silver,42.504822999999995,-92.405569
lexington,Kentucky,10500,2015.0,chevrolet,malibu,excellent,4 cylinders,gas,10000.0,rebuilt,automatic,,fwd,mid-size,sedan,red,38.072194,-84.497834
youngstown,Ohio,2500,2005.0,chrysler,sebring,good,4 cylinders,gas,114000.0,clean,automatic,,fwd,mid-size,convertible,silver,41.1611,-80.6933
redding,California,2795,2002.0,ford,explorer sport,excellent,6 cylinders,gas,183204.0,clean,automatic,1fmyu60e22ub91286,rwd,mid-size,SUV,black,37.705566,-121.72433000000001
mobile,Alabama,4000,1999.0,chevy,tahoe lt,fair,8 cylinders,gas,149356.0,clean,automatic,,4wd,full-size,SUV,black,30.4802,-88.2396
roanoke,Virginia,1900,1997.0,honda,accord,fair,4 cylinders,gas,,clean,automatic,,fwd,compact,sedan,green,37.2853,-80.0692
modesto,California,3500,2006.0,chevrolet,1500 silverado,,,gas,,clean,automatic,,,,,,37.6717,-120.9482
newyork,New York,750,2001.0,dodge,1500,,,gas,,clean,automatic,,,full-size,,,40.868204999999996,-73.885462
indianapolis,Indiana,4250,2011.0,kia,sorrento,,,gas,,clean,automatic,,,,,,39.743,-86.1179
fayetteville,North Carolina,11995,2009.0,lexus,is,,,gas,113235.0,clean,,JTHBK262895089886,fwd,sub-compact,sedan,white,35.078990000000005,-78.94236
tucson,Arizona,7995,2014.0,ford,focus se,,,other,88448.0,clean,automatic,1FADP3F26EL139035,fwd,,sedan,red,33.396353000000005,-111.95486299999999
buffalo,New York,5200,2006.0,chevrolet,tahoe,excellent,8 cylinders,gas,120000.0,clean,automatic,,4wd,,,blue,42.0821,-78.426
inlandempire,California,2200,2001.0,honda,crv,,4 cylinders,gas,110000.0,clean,manual,,rwd,,,silver,34.0498,-117.4706
dayton,Ohio,9950,2007.0,ford,explorer,,,gas,,clean,automatic,,,,,,39.874649,-83.94379599999999
monterey,California,7995,2011.0,honda,civic lx,,,gas,94000.0,clean,automatic,2HGFG1B67BH514179,fwd,,coupe,grey,38.6072,-121.2761
fresno,California,4000,1985.0,chevy,,good,8 cylinders,gas,,clean,automatic,,rwd,,,,36.7918,-119.8801
iowacity,Iowa,1200,2006.0,vw,passat,fair,6 cylinders,gas,182000.0,clean,automatic,,fwd,,,,41.7563,-91.1362
longisland,New York,14517,2015.0,jeep,patriot 4wd 4dr latitude,,4 cylinders,gas,62258.0,clean,automatic,1C4NJRFB5FD155368,4wd,,SUV,white,40.86067,-73.075876
spacecoast,Florida,4900,2005.0,acura,tl 3.2 4dr sedan,good,6 cylinders,gas,140500.0,clean,automatic,,fwd,mid-size,coupe,white,28.1331,-80.7112
winstonsalem,North Carolina,14000,2002.0,chevy,silverado 2500hd,,8 cylinders,gas,,clean,automatic,,4wd,,,white,36.2872,-80.8554
columbia,North Carolina,3500,2007.0,ford,freestyle,,,gas,,clean,automatic,,,,,,35.459311,-80.975009
stlouis,Missouri,20500,2013.0,ford,f150 xlt,excellent,6 cylinders,gas,,rebuilt,automatic,1FTFW1CT2DFA86189,rwd,full-size,truck,white,38.8014,-90.5065
spacecoast,Florida,15500,2012.0,,camaro ss,,,gas,87000.0,clean,manual,,,,,,26.5955,-80.1291
augusta,South Carolina,7000,2005.0,toyota,highlander,like new,4 cylinders,gas,135000.0,clean,automatic,JTEGD21A150106353,rwd,mid-size,SUV,green,34.16605,-80.908813
raleigh,North Carolina,7977,2007.0,ford,explorer sport trac,,,gas,168320.0,clean,automatic,1FMEU31KX7UA32111,fwd,,pickup,brown,35.715833,-78.655889
phoenix,Arizona,399,2018.0,dodge,charger,good,,gas,,clean,other,,,,,,33.295433,-111.841393
portland,Oregon,1600,2001.0,toyota,,good,,gas,,clean,automatic,,4wd,,,,45.415,-122.52
lexington,Kentucky,20421,2015.0,ford,explorer,excellent,6 cylinders,gas,74689.0,clean,automatic,1FM5K8D87FGB23434,,full-size,SUV,white,37.911918,-84.559276
peoria,Illinois,7850,1973.0,volkswagen,beetle convertible,good,4 cylinders,gas,,clean,manual,1532225083,rwd,compact,convertible,green,40.7956,-89.2093
fortcollins,Colorado,15599,2017.0,hyundai,santa fe sport,,4 cylinders,gas,51357.0,clean,automatic,5NMZT3LB2HH024437,fwd,compact,SUV,blue,39.7305,-105.1915
asheville,Tennessee,7995,2008.0,toyota,tacoma,,4 cylinders,gas,95461.0,clean,manual,5TENX22N98Z587137,rwd,,pickup,silver,35.7883,-84.2188
eugene,Oregon,10500,2005.0,subaru,baja,good,4 cylinders,gas,,clean,manual,,4wd,,truck,blue,43.9058,-123.0284
moseslake,Washington,21988,2015.0,ford,fusion,,4 cylinders,gas,29023.0,clean,automatic,3FA6P0D96FR240649,4wd,,sedan,black,47.940865,-119.009142
cfl,Florida,400,2000.0,saturn,,fair,4 cylinders,gas,160000.0,clean,automatic,,fwd,compact,coupe,purple,27.4924,-81.4357
boise,Idaho,4998,2006.0,mini,cooper s convertible,,,other,128369.0,clean,automatic,WMWRH33576TL93105,,sub-compact,convertible,,43.669368,-116.280212
greenville,North Carolina,8500,1996.0,toyota,tacoma,,4 cylinders,gas,89640.0,clean,automatic,4TAVL52NXTZ134853,,,,,35.390589,-81.942043
cfl,Florida,1500,1998.0,cadillac,deville d'elegance,good,8 cylinders,gas,156000.0,clean,automatic,,rwd,,sedan,white,27.485853999999996,-81.419719
lexington,Tennessee,3950,2012.0,nissan,altima 2.5 4dr sedan,,,gas,157000.0,rebuilt,automatic,1N4AL2AP0CC243058,,,,,36.0725,-86.72399999999999
brainerd,Minnesota,13900,2002.0,pontiac,firebird,excellent,6 cylinders,gas,5007.0,clean,automatic,,rwd,mid-size,coupe,red,46.438156,-94.312303
peoria,Illinois,17050,2016.0,kia,sorento,excellent,other,gas,71382.0,clean,automatic,5XYPG4A39GG034291,fwd,,SUV,,42.27856,-88.031417
tampa,Florida,3900,2005.0,jeep,liberty,like new,6 cylinders,gas,157000.0,clean,automatic,,,,,,28.027155,-81.98740699999999
appleton,Wisconsin,4500,2009.0,chevrolet,impala,excellent,6 cylinders,gas,170395.0,clean,automatic,2G1WU57M891278689,fwd,full-size,sedan,white,44.4737,-88.06308
muskegon,Michigan,14988,2012.0,cadillac,srx,,6 cylinders,,106949.0,clean,automatic,3GYFNEE33CS522253,4wd,,SUV,black,43.212056,-86.26339300000001
nashville,Texas,22500,2014.0,ford,f250 xl 4x4,excellent,,diesel,179108.0,clean,automatic,1FT7W2BT9EEA14702,4wd,full-size,pickup,,32.9103,-96.7285
bakersfield,California,6900,2007.0,toyota,camry xle,excellent,6 cylinders,gas,151190.0,clean,automatic,JTNBK46K873015305,fwd,full-size,sedan,white,35.373588,-118.99573999999998
eastco,Colorado,38995,2016.0,ram,pickup 2500,excellent,6 cylinders,gas,69624.0,clean,automatic,3C6UR5DL1GG156179,4wd,,,white,40.007891,-104.818353
akroncanton,Ohio,3300,2006.0,ford,escape,,6 cylinders,gas,107000.0,clean,automatic,,4wd,,,,41.0408,-81.5598
reno,Nevada,1500,2005.0,chevrolet,express,,,gas,,clean,automatic,,,,,,39.5354,-119.8374
yubasutter,California,7499,2012.0,nissan,altima 2.5 s,,4 cylinders,gas,152445.0,clean,automatic,1N4AL2APXCN549124,fwd,,sedan,,39.12357,-121.61091100000002
tulsa,Oklahoma,2995,2007.0,pontiac,g6,,,gas,,clean,automatic,,,,,,36.147807,-95.93360200000001
collegestation,Texas,25000,2009.0,ram,,,,other,133387.0,clean,automatic,3D7KS28L49G523923,4wd,,pickup,black,30.68814,-95.54411999999999
westernmass,Massachusetts,7500,2004.0,ford,f-150 fx4,new,8 cylinders,gas,,clean,automatic,,fwd,full-size,,black,42.0718,-72.6751
showlow,Arizona,5900,2008.0,,Suzuki Grand Vitara,excellent,6 cylinders,gas,118000.0,clean,automatic,,4wd,,,,34.1662,-109.9869
brownsville,Texas,17924,2014.0,ford,edge,,6 cylinders,gas,56070.0,clean,automatic,2FMDK3KC5EBA05359,fwd,mid-size,SUV,red,27.656582,-97.481814
raleigh,North Carolina,5500,2009.0,dodge,charger sxt,excellent,6 cylinders,gas,213000.0,clean,automatic,,rwd,full-size,sedan,grey,35.9781,-78.8439
asheville,North Carolina,4444,2005.0,chrysler,sebring,,,gas,4600.0,clean,automatic,,,full-size,convertible,,35.903,-82.2876
houston,Texas,1,2004.0,toyota,solara,excellent,6 cylinders,gas,112000.0,clean,automatic,,,,,,29.7422,-95.4903
valdosta,Georgia,2600,2003.0,ford,expedition xlt,good,8 cylinders,gas,285000.0,clean,automatic,1fmpu15l63lc33049,rwd,full-size,SUV,black,30.8931,-83.3278
sanmarcos,Texas,15987,2016.0,dodge,journey,,,gas,585190.0,clean,automatic,3C4PDCAB1GT111058,fwd,,SUV,white,30.112532,-97.34725
dallas,Texas,35,2017.0,nissan,titan xd,like new,8 cylinders,gas,,clean,automatic,,4wd,,,,33.2289,-97.1314
spokane,Washington,25980,2010.0,ford,explorer sport trac,,,gas,58593.0,clean,automatic,1FMEU2D88AUA08035,,,SUV,red,47.71825,-117.411652
slo,California,7995,2008.0,honda,civic,excellent,4 cylinders,gas,81028.0,clean,automatic,2HJFG12608H518146,fwd,compact,coupe,,38.428136,-122.735101
oklahomacity,Oklahoma,23600,2016.0,gmc,canyon,,,gas,52777.0,clean,automatic,1GTG5CE35G1284203,fwd,,pickup,white,35.5106,-97.61298000000001
carbondale,Illinois,3000,1900.0,,jr dragster,,,gas,,clean,other,,,,,,38.306,-89.2311
nashville,Tennessee,10999,2007.0,mercedes-benz,s-class,,8 cylinders,gas,130694.0,,automatic,WDDNG71X07A087110,rwd,,sedan,grey,36.138022,-86.732261
austin,Texas,14612,2012.0,nissan,frontier,,6 cylinders,gas,111709.0,clean,automatic,,rwd,,pickup,red,30.2063,-97.7956
columbiamo,Missouri,27687,2016.0,ram,1500,,,gas,35867.0,clean,automatic,,,,,,38.382622999999995,-93.77344000000001
chico,California,4100,2002.0,mini,cooper,good,4 cylinders,gas,80000.0,clean,automatic,,fwd,,coupe,silver,39.4877,-121.4698
fortmyers,Florida,13500,2004.0,mercedes-benz,benz sl55 amg,fair,8 cylinders,gas,105000.0,clean,automatic,,rwd,,,black,26.9905,-82.0964
nh,New Hampshire,7500,2010.0,honda,odyssey ex-l,,,gas,,clean,automatic,,fwd,,,,42.9656,-71.4493
denver,Colorado,2900,2001.0,toyota,corolla,excellent,4 cylinders,gas,155000.0,clean,automatic,,fwd,mid-size,sedan,silver,39.671,-104.9279
jxn,Michigan,3900,2000.0,ford,ranger xlt,,6 cylinders,gas,,clean,automatic,,rwd,,,,42.6614,-84.0721
cleveland,Ohio,11979,2008.0,toyota,tacoma,good,6 cylinders,gas,171882.0,clean,automatic,5TEUU42N48Z540615,4wd,full-size,pickup,,39.9648,-83.126
charlestonwv,West Virginia,1800,2009.0,acura,tl,,,gas,,clean,automatic,,fwd,full-size,,,38.2886,-82.1843
modesto,California,12900,2012.0,honda,pilot ex-l,excellent,6 cylinders,gas,158865.0,clean,automatic,,fwd,full-size,SUV,grey,37.4888,-120.8535
miami,Florida,4900,2004.0,cadillac,escalade,,,gas,193999.0,clean,automatic,,,,,,25.985,-80.1407
jerseyshore,New Jersey,6000,2013.0,volkswagen,se jetta,excellent,4 cylinders,gas,,clean,automatic,,fwd,,,,40.4109,-74.238
raleigh,North Carolina,3900,2006.0,chevy,trail blazer,,6 cylinders,gas,164000.0,clean,automatic,,4wd,,,,35.9112,-78.9178
bakersfield,California,22000,2017.0,toyota,tacoma,like new,6 cylinders,gas,22500.0,salvage,automatic,,rwd,full-size,truck,black,34.1802,-118.4324
atlanta,Georgia,4200,2006.0,lexus,is 250,,,gas,,clean,automatic,,,,,,33.451,-84.1544
phoenix,Arizona,48900,2014.0,,freightliner cascadia,,,diesel,,clean,manual,,,,,,33.4484,-112.074
sfbay,California,37500,2010.0,ram,2500,,,diesel,,clean,automatic,,,,,,38.4592,-122.6393
seattle,Washington,1150,2000.0,chevy,malibu ls,good,6 cylinders,gas,180.0,clean,automatic,1G1NE52J3Y6259755,fwd,mid-size,sedan,green,47.1464,-122.4572
annarbor,Michigan,5995,2010.0,chevrolet,equinox,excellent,4 cylinders,gas,177979.0,clean,automatic,2CNALDEW1A6211020,fwd,mid-size,SUV,red,42.59142,-83.031
slo,California,21995,2005.0,ford,f-350sd,,,gas,66140.0,clean,automatic,1FTWW32P15EA28047,,,,,34.070311,-117.446303
fredericksburg,Virginia,54500,2015.0,ford,king ranch,excellent,other,diesel,16508.0,clean,automatic,,4wd,full-size,truck,white,38.0641,-77.6586
mohave,Arizona,250,1976.0,toyota,land cruiser,,,other,,parts only,other,,,,,,35.90037,-114.04864099999999
nashville,Tennessee,3500,1995.0,,1995 camaro,good,8 cylinders,gas,107000.0,clean,automatic,,rwd,mid-size,convertible,green,35.62,-87.050304
hickory,North Carolina,154,2012.0,ford,transit connect xl,excellent,4 cylinders,gas,68996.0,clean,automatic,,fwd,,van,white,35.7313,-81.2165
stcloud,Minnesota,21777,2017.0,chrysler,300-series,,6 cylinders,gas,29457.0,clean,other,2C3CCABG4HH662857,rwd,,sedan,silver,44.740066999999996,-94.714901
orlando,Florida,7000,2006.0,nissan,350z,excellent,6 cylinders,gas,119000.0,clean,automatic,,rwd,,convertible,,28.298796999999997,-81.40525799999999
ogden,Utah,12500,2013.0,,Tundra,excellent,,gas,,clean,automatic,,,,pickup,,41.3112,-111.9689
allentown,Pennsylvania,4800,1991.0,ford,f350,good,8 cylinders,diesel,187000.0,clean,manual,,4wd,,,,40.3765,-75.2648
terrehaute,Indiana,875,2000.0,lincoln,town car,good,8 cylinders,gas,15000.0,clean,automatic,,,,,,39.4657,-87.354
memphis,Tennessee,1300,1999.0,chevrolet,tahoe,,,gas,,clean,automatic,,,,,,35.0514,-89.9265
fresno,California,3900,2005.0,bmw,135i,like new,,gas,,clean,automatic,,,,,,36.8579,-119.7655
omaha,Nebraska,11940,2014.0,ford,focus,,4 cylinders,gas,92100.0,rebuilt,manual,1FADP3L96EL381471,fwd,,hatchback,black,41.207382,-96.023096
seattle,Washington,5000,1991.0,toyota,pickup,good,6 cylinders,gas,,clean,manual,,4wd,,pickup,,47.306124,-122.629223
westky,Kentucky,10200,2014.0,chevrolet,silver,good,8 cylinders,gas,,clean,automatic,,4wd,,,,36.8478,-88.6788
delaware,Pennsylvania,500,2006.0,ford,explorer,,,gas,,clean,automatic,,,,,,40.0018,-75.1179
allentown,Pennsylvania,2500,2006.0,pontiac,g6,fair,6 cylinders,gas,142000.0,clean,automatic,,fwd,mid-size,sedan,grey,40.6002,-75.3805
reading,Pennsylvania,3000,1986.0,ford,e350,excellent,8 cylinders,gas,51000.0,clean,automatic,,rwd,,,,40.5488,-75.9874
sanantonio,Texas,10700,2008.0,chevrolet,suburban,,,gas,128350.0,clean,automatic,3GNFC16JX8G117185,rwd,,SUV,,29.357582,-98.551473
fredericksburg,Virginia,3999,2003.0,honda,accord,excellent,6 cylinders,gas,138838.0,clean,automatic,1HGCM82603A026471,fwd,,coupe,,38.337032,-77.48290300000001
albuquerque,New Mexico,2300,1982.0,chevrolet,corvette,,,gas,,clean,other,,,,,,35.0776,-106.1872
omaha,Nebraska,5375,2006.0,infiniti,g35x awd,like new,6 cylinders,gas,18.0,rebuilt,automatic,,4wd,full-size,sedan,blue,41.21005,-96.007517
fortmyers,Florida,6250,2003.0,toyota,tundra 2wd truck,good,8 cylinders,gas,113378.0,clean,automatic,,,full-size,truck,red,26.911248999999998,-81.768989
tampa,Florida,7950,2005.0,nissan,frontier,excellent,6 cylinders,gas,99000.0,clean,automatic,,rwd,mid-size,truck,blue,27.885149,-82.742504
carbondale,Illinois,14495,2004.0,jeep,wrangler,excellent,6 cylinders,gas,144859.0,clean,manual,1J4FA39S44P788026,4wd,,wagon,silver,38.084394,-89.339761
lincoln,Nebraska,9000,2006.0,honda,ridgeline,good,6 cylinders,gas,109000.0,salvage,automatic,,4wd,,truck,green,40.858845,-96.73447
corpuschristi,Texas,16911,2010.0,ram,1500,,8 cylinders,gas,136749.0,clean,automatic,1D7RV1CT2AS142320,4wd,full-size,pickup,orange,27.7061,-97.3537
poconos,Pennsylvania,8950,2014.0,ford,focus,excellent,4 cylinders,gas,77200.0,clean,automatic,1FADP3K22EL333566,fwd,,hatchback,grey,41.264911,-74.888325
gulfport,Mississippi,13900,2010.0,ram,,excellent,,gas,144967.0,clean,automatic,,,,,,30.432370000000002,-88.829762
hudsonvalley,New York,1900,2002.0,ford,mustang,good,8 cylinders,gas,,clean,manual,,rwd,,,red,41.4097,-73.5992
huntington,West Virginia,1200,1987.0,dodge,dakota,good,,gas,126950.0,clean,automatic,,,,,,38.414,-82.1458
fortsmith,Oklahoma,27900,2012.0,ford,f-150,excellent,,gas,,clean,automatic,,4wd,,,,35.2204,-97.4577
poconos,Pennsylvania,3500,2002.0,ford,mustang gt,,,gas,,clean,automatic,,,,,,41.0367,-75.1735
fresno,California,9000,2000.0,honda,c,,,gas,,clean,manual,,,,,,34.0705,-118.0149
whistler,FAILED,9998,2013.0,jeep,patriot,excellent,4 cylinders,gas,103942.0,clean,manual,1C4NJPAB9DD212776,fwd,,SUV,blue,49.206148999999996,-122.878196
lexington,Kentucky,18000,2011.0,,2011 f250,fair,8 cylinders,diesel,199000.0,clean,automatic,,4wd,full-size,pickup,white,37.8033,-84.8607
stlouis,Missouri,5850,2005.0,,SAAB 9-2X AWD 76K,like new,4 cylinders,gas,76000.0,clean,automatic,,4wd,mid-size,sedan,silver,38.5576,-90.4924
peoria,Illinois,13325,2016.0,mazda,mazda3,excellent,other,gas,73583.0,clean,automatic,JM1BM1U78G1315854,fwd,,sedan,,42.27856,-88.031417
bakersfield,California,1700,2000.0,ford,expedition,excellent,,gas,,clean,automatic,,,full-size,,blue,34.2092,-118.5749
charlottesville,Virginia,1400,1995.0,nissan,pickup,,4 cylinders,gas,,clean,manual,,,,,,37.7715,-78.2355
scranton,Pennsylvania,6995,2004.0,ford,f150,good,8 cylinders,gas,174200.0,clean,automatic,,4wd,,,yellow,41.316649,-75.827598
newlondon,Connecticut,68,2015.0,kia,forte,excellent,other,gas,26532.0,clean,automatic,KNAFX4A65F5366822,,,,,41.477055,-72.812912
greenbay,Wisconsin,19301,2015.0,toyota,rav4,,,gas,35359.0,clean,automatic,JTMBFREV0FJ049105,,,,,44.481971,-88.072288
fortwayne,Indiana,15500,2009.0,chevrolet,suburban ltz,excellent,8 cylinders,gas,126688.0,clean,manual,,4wd,,,,41.4849,-85.3743
kalamazoo,Michigan,15995,2015.0,ford,escape,excellent,4 cylinders,gas,41853.0,clean,automatic,1FMCU0GX8FUA66474,fwd,mid-size,SUV,blue,42.318135,-85.234575
bellingham,Washington,12999,2009.0,bmw,3 series 335i xdrive,good,,other,76203.0,clean,automatic,WBAPL33549A407225,,,sedan,,48.7548,-122.47
easttexas,Texas,40999,2017.0,ram,2500,,,diesel,,clean,automatic,,,,,,30.650238,-97.868391
klamath,Oregon,2800,2003.0,honda,civic,,4 cylinders,hybrid,217343.0,clean,manual,JHMES95643S030630,fwd,,sedan,,42.20353,-121.7559
spokane,Washington,7499,2006.0,honda,accord le,excellent,4 cylinders,gas,120300.0,clean,automatic,,fwd,mid-size,sedan,,47.6964,-117.4399
dallas,Texas,4500,2008.0,jeep,patriot 4x4,excellent,4 cylinders,gas,159121.0,clean,automatic,,4wd,full-size,SUV,grey,32.7204,-97.0826
jackson,Mississippi,3300,2005.0,chevrolet,tahoe lt,,,gas,,clean,automatic,1GNEC16ZX5J207321,,,,,32.4122,-90.1207
bend,Oregon,46726,2016.0,,Porsche Cayenne  automatic,,,gas,28754.0,clean,automatic,WP1AA2A23GLA00711,4wd,,SUV,black,44.0398,-121.30438999999998
watertown,New York,1700,1999.0,chevrolet,silverado 1500,,,gas,,clean,automatic,,,,,,44.0817,-75.8305
columbus,Ohio,3100,2004.0,jeep,grand cherokee overland 4x4,good,8 cylinders,gas,171782.0,clean,automatic,,4wd,,SUV,black,40.287121,-82.785759
oklahomacity,Oklahoma,13500,2014.0,chevrolet,tahoe,like new,8 cylinders,gas,,clean,automatic,,rwd,full-size,truck,black,34.798589,-96.96766099999999
missoula,Idaho,38998,2016.0,ram,1500 diesel v6 3.,,,diesel,49786.0,clean,automatic,1C6RR7NM8GS344666,,,truck,,47.538337,-116.11980700000001
richmond,Virginia,19000,2015.0,bmw,328ix,excellent,4 cylinders,gas,45000.0,clean,automatic,,4wd,mid-size,sedan,blue,37.681239,-77.598495
joplin,Missouri,4500,2004.0,gmc,sierra,,,gas,,clean,automatic,,,,,,37.278287,-93.406448
jacksonville,Florida,4700,2003.0,dodge,,,,gas,,clean,automatic,,,,,,30.1927,-81.605
ocala,Florida,3800,2003.0,ford,f150,,,gas,,clean,automatic,,,,,,28.7778,-82.3603
portland,Oregon,17791,2016.0,subaru,wrx premium awd cvt sedan,,,gas,27877.0,rebuilt,automatic,JF1VA1E64G8829192,,,sedan,red,45.50423,-122.551919
lawton,Oklahoma,16800,2014.0,infiniti,q50,like new,6 cylinders,gas,55735.0,clean,automatic,,rwd,full-size,sedan,grey,35.334,-97.4768
eauclaire,Wisconsin,5495,2006.0,gmc,envoy,good,6 cylinders,gas,173000.0,clean,automatic,,4wd,,,black,45.5197,-91.8266
humboldt,California,33995,2016.0,ram,1500 diesel,like new,6 cylinders,diesel,27100.0,clean,automatic,,4wd,,,silver,40.800144,-124.168079
