"url","city","price","year","manufacturer","make","condition","cylinders","fuel","odometer","title_status","transmission","vin","drive","size","type","paint_color","image_url","lat","long","county_fips","county_name","state_fips","state_code","state_name","weather"
"https://wilmington.craigslist.org/cto/d/2007-pontiac-g6/6700750207.html","wilmington","2600","2007","pontiac","g6",,,"gas",,"clean","automatic",,,,,,"https://images.craigslist.org/00p0p_1IoHlwn2rvp_600x450.jpg","34.8957","-78.0432","37061","Duplin","37","NC","North Carolina","56"
"https://spokane.craigslist.org/cto/d/1984-porsche-944-manual-89k/6718630389.html","spokane","4900","1984",,"Porsche 944","good","4 cylinders","gas","89","clean","manual",,"rwd",,,,"https://images.craigslist.org/00c0c_bymMfSBMG7s_600x450.jpg","47.8411","-117.3759","53063","Spokane","53","WA","Washington","50"
"https://fortmyers.craigslist.org/lee/cto/d/2004-volkswagen-passat-gls-18l/6716514425.html","fortmyers","3350","2004","volkswagen","passat","good","4 cylinders","gas","155812","clean","automatic","Wvwpd63b14e213695","fwd","mid-size","sedan","silver","https://images.craigslist.org/00j0j_8t7H6wxFqIq_600x450.jpg","26.638866","-81.87458","12071","Lee","12","FL","Florida","65"
"https://kootenays.craigslist.ca/ctd/d/2017-jeep-renegade-limited/6716912011.html","kootenays","26800","2017","jeep","renegade",,"4 cylinders","gas","23937","clean","automatic","ZACCJBDB3HPF53006","4wd",,"SUV","red","https://images.craigslist.org/01717_13xZJ47dAjY_600x450.jpg","49.04553","-122.277718",,,,,"FAILED",
"https://lakeland.craigslist.org/cto/d/2001-jeep-cherokee-sport/6700852839.html","lakeland","2000","2001","jeep","cherokee sport",,"6 cylinders","gas","103000","clean","automatic","1J4FT48591L515698",,"mid-size","SUV","black","https://images.craigslist.org/00i0i_8zaG8gOv1JW_600x450.jpg","27.951345","-81.59503","12105","Polk","12","FL","Florida","65"
"https://nanaimo.craigslist.ca/ctd/d/2014-nissan-pathfinder-sv-4wd/6716525445.html","nanaimo","21988","2014",,"model","excellent","6 cylinders","gas",,"clean","automatic",,"4wd",,,"silver","https://images.craigslist.org/00505_51e0xrIkigJ_600x450.jpg","44.426157","-64.618626",,,,,"FAILED",
"https://eauclaire.craigslist.org/ctd/d/2016-ford-fusion-fwd-sedan-se/6721777212.html","eauclaire","14866","2016","ford","fusion","excellent","other","gas","36171","clean","automatic","3FA6P0H72GR133785","fwd",,"sedan","silver","https://images.craigslist.org/00404_1KHsx3HxBZX_600x450.jpg","44.6946","-90.1542","55073","Marathon","55","WI","Wisconsin","45"
"https://wv.craigslist.org/cto/d/2010-jeep-patriot/6718298910.html","wv","3900","2010","jeep","patriot","good",,"gas","157","clean","automatic",,,,,,"https://images.craigslist.org/00u0u_lXdfo0Pg13s_600x450.jpg","39.4567","-77.9727","54003","Berkeley","54","WV","West Virginia","52"
"https://macon.craigslist.org/cto/d/1977-volkswagen-regular/6704635796.html","macon","2700","1977","vw","beetle",,,"gas",,"missing","manual",,,,,"black","https://images.craigslist.org/01515_kJk5Fhrb8PQ_600x450.jpg","33.5251","-81.9394","45003","Aiken","45","SC","South Carolina","60"
"https://lewiston.craigslist.org/ctd/d/2015-dodge-durango-express-v6/6730165027.html","lewiston","23998","2015","dodge","durango express v6 3.",,,"gas","54554","clean","automatic","1C4RDJAG0FC810488",,,"SUV",,"https://images.craigslist.org/00C0C_6dJgxy6WOY4_600x450.jpg","47.538337","-116.119807","16079","Shoshone","16","ID","Idaho","47"
